IUCN,IUCN Category,SPEC,Species,COU,Country,Unit Code,Unit,Reference Period Code,Reference Period,Value,Flag Codes,Flags
ENDANGERED,Number of endangered species,BIRD,Birds,AUS,Australia,NBR,Number,,,55.0,,
CRITICAL,Number of critically endangered species,BIRD,Birds,AUS,Australia,NBR,Number,,,17.0,,
VULNERABLE,Number of vulnerable species,BIRD,Birds,AUS,Australia,NBR,Number,,,63.0,,
THREATENED,Total number of threatened species,BIRD,Birds,AUS,Australia,NBR,Number,,,135.0,,
ENDANGERED_IND,Number of endangered indigenous species,BIRD,Birds,AUS,Australia,NBR,Number,,,55.0,,
CRITICAL_IND,Number of critically endangered indigenous species,BIRD,Birds,AUS,Australia,NBR,Number,,,17.0,,
VULNERABLE_IND,Number of vulnerable indigenous species,BIRD,Birds,AUS,Australia,NBR,Number,,,63.0,,
TOT_KNOWN,Total number of known species,BIRD,Birds,AUT,Austria,NBR,Number,,,213.0,,
TOT_KNOWN_IND,Total number of indigenous known species,BIRD,Birds,AUT,Austria,NBR,Number,,,213.0,,
ENDANGERED,Number of endangered species,BIRD,Birds,AUT,Austria,NBR,Number,,,24.0,,
CRITICAL,Number of critically endangered species,BIRD,Birds,AUT,Austria,NBR,Number,,,14.0,,
VULNERABLE,Number of vulnerable species,BIRD,Birds,AUT,Austria,NBR,Number,,,28.0,,
THREATENED,Total number of threatened species,BIRD,Birds,AUT,Austria,NBR,Number,,,66.0,,
ENDANGERED_IND,Number of endangered indigenous species,BIRD,Birds,AUT,Austria,NBR,Number,,,24.0,,
CRITICAL_IND,Number of critically endangered indigenous species,BIRD,Birds,AUT,Austria,NBR,Number,,,14.0,,
VULNERABLE_IND,Number of vulnerable indigenous species,BIRD,Birds,AUT,Austria,NBR,Number,,,28.0,,
TOT_KNOWN,Total number of known species,BIRD,Birds,BEL,Belgium,NBR,Number,,,198.0,,
TOT_KNOWN_IND,Total number of indigenous known species,BIRD,Birds,BEL,Belgium,NBR,Number,,,178.0,,
